code,name,faculty,facultyCode,url
IPL210,"International relations theory and international organisation(s) 210",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/IPL%20210
LEK324,"Introduction to resource economics 324",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/LEK%20324
IVM210,"Investment management 210",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/IVM%20210
IVM220,"Investment management 220",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/IVM%20220
IVM310,"Investment management 310",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/IVM%20310
IVM320,"Investment management 320",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/IVM%20320
JUR110,"Jurisprudence 110",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/JUR%20110
JUR120,"Jurisprudence 120",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/JUR%20120
KTR211,"Law of contract 211",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/KTR%20211
DLR320,"Law of delict 320",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/DLR%20320
PSR110,"Law of persons 110",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/PSR%20110
ERF222,"Law of succession 222",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/ERF%20222
SAR310,"Law of things 310",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/SAR%20310
BEM256,"Market offering 256",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/BEM%20256
STC157,"Mathematical concepts for statistics 157",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/STC%20157
VHD320,"Payment methods 320",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/VHD%20320
BEM315,"Personal selling 315",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/BEM%20315
STL210,"Political science 210",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/STL%20210
STL220,"Political science 220",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/STL%20220
STL310,"Political science 310",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/STL%20310
STL320,"Political science 320",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/STL%20320
PTO101,"Politics 101",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/PTO%20101
BPE221,"Professional ethics 221",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/BPE%20221
PAD112,"Public administration 112",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/PAD%20112
PAD122,"Public administration 122",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/PAD%20122
PAD212,"Public administration 212",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/PAD%20212
PAD222,"Public administration 222",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/PAD%20222
